name,type,core,mem,kID,cycles,totalpower,dynpower,corepower,mempower,time,performance,normdynpowerDFS,normdynpowerDVFS,normtotalpowerDFS,normtotalpowerDVFS,effDFS,effDVFS,int_ins,int_bytes
convolution3d,1,1200,900,1,268451,131.96,76.96,57,19.96,223,1,1,1,1,1,1,1,7.77,2.12
convolution3d,1,1200,750,1,266656,132.16,77.16,57.09,20.07,222,1,1,0.95,1,0.97,1,1.03,7.77,2.12
convolution3d,1,1200,600,1,281212,128.59,73.59,54.55,19.04,234,0.95,0.96,0.87,0.97,0.92,0.98,1.03,7.77,2.12
convolution3d,1,1200,450,1,350926,116.03,61.03,45.77,15.26,292,0.76,0.79,0.69,0.88,0.82,0.87,0.93,7.77,2.12
correlation,1,600,900,1,49043,98.71,43.71,37.67,6.04,81,0.79,0.89,0.5,0.95,0.49,0.84,1.6,3.54,0.58
correlation,1,800,900,1,58544,100.91,45.91,39.16,6.75,73,0.88,0.93,0.64,0.97,0.64,0.91,1.37,3.54,0.58
correlation,1,1000,900,1,67990,102.82,47.82,40.52,7.3,67,0.96,0.97,0.81,0.99,0.81,0.97,1.18,3.54,0.58
correlation,1,1200,900,1,77564,104.38,49.38,41.74,7.64,64,1,1,1,1,1,1,1,3.54,0.58
correlation,1,1200,750,1,78023,104.1,49.1,41.5,7.59,65,0.98,0.99,0.97,1,0.98,0.99,1,3.54,0.58
correlation,1,1200,600,1,78838,103.75,48.75,41.2,7.54,65,0.98,0.99,0.93,0.99,0.97,0.99,1.02,3.54,0.58
correlation,1,1200,450,1,80434,103.23,48.23,40.83,7.4,67,0.96,0.98,0.9,0.99,0.95,0.97,1,3.54,0.58
correlation,1,600,900,2,54386,98.98,43.98,38.49,5.5,90,0.76,0.87,0.48,0.94,0.49,0.81,1.55,3.43,0.71
correlation,1,800,900,2,62702,101.74,46.74,40.4,6.34,78,0.87,0.92,0.64,0.96,0.64,0.9,1.37,3.43,0.71
correlation,1,1000,900,2,71915,103.79,48.79,41.9,6.89,71,0.96,0.97,0.81,0.98,0.81,0.97,1.18,3.43,0.71
correlation,1,1200,900,2,81764,105.54,50.54,43.25,7.29,68,1,1,1,1,1,1,1,3.43,0.71
correlation,1,1200,750,2,82451,105.21,50.21,42.97,7.24,68,1,0.99,0.97,1,0.98,1,1.02,3.43,0.71
correlation,1,1200,600,2,83570,104.79,49.79,42.67,7.12,69,0.99,0.99,0.93,0.99,0.97,0.99,1.02,3.43,0.71
correlation,1,1200,450,2,85370,104.19,49.19,42.23,6.96,71,0.96,0.97,0.9,0.99,0.95,0.97,1,3.43,0.71
correlation,1,600,900,3,28808,96.18,41.18,39.35,1.83,48,0.52,0.6,0.31,0.78,0.39,0.67,1.34,9.37,1.96
correlation,1,800,900,3,29637,105.68,50.68,48.3,2.38,37,0.68,0.74,0.49,0.86,0.55,0.79,1.22,9.37,1.96
correlation,1,1000,900,3,30035,115.28,60.28,57.35,2.94,30,0.83,0.88,0.72,0.93,0.76,0.89,1.1,9.37,1.96
correlation,1,1200,900,3,31011,123.53,68.53,65.13,3.4,25,1,1,1,1,1,1,1,9.37,1.96
correlation,1,1200,750,3,31223,122.77,67.77,64.42,3.35,26,0.96,0.99,0.98,0.99,0.99,0.97,0.97,9.37,1.96
correlation,1,1200,600,3,31444,122.36,67.36,64.01,3.34,26,0.96,0.98,0.97,0.99,0.98,0.97,0.98,9.37,1.96
correlation,1,1200,450,3,32316,120.48,65.48,62.25,3.23,26,0.96,0.96,0.93,0.98,0.96,0.99,1,9.37,1.96
cutcp,1,600,900,1,18189534,104.19,49.19,49.17,0.02,30315,0.5,0.57,0.28,0.73,0.36,0.69,1.4,440.16,120.66
cutcp,1,800,900,1,18231668,116.85,61.85,61.82,0.03,22789,0.67,0.71,0.45,0.82,0.53,0.81,1.27,440.16,120.66
cutcp,1,1000,900,1,18276379,129.46,74.46,74.42,0.04,18276,0.84,0.86,0.69,0.91,0.74,0.92,1.13,440.16,120.66
cutcp,1,1200,900,1,18320401,142.04,87.04,86.99,0.05,15267,1,1,1,1,1,1,1,440.16,120.66
cutcp,1,1200,750,1,18325137,141.87,86.87,86.83,0.05,15270,1,1,1,1,1,1,1,440.16,120.66
cutcp,1,1200,600,1,18330532,141.69,86.69,86.64,0.05,15275,1,1,1,1,1,1,1,440.16,120.66
cutcp,1,1200,450,1,18200325,142.07,87.07,87.02,0.05,15166,1.01,1,1,1,1,1.01,1.01,440.16,120.66
cutcp,1,600,900,2,22213462,104.75,49.75,49.73,0.02,37022,0.5,0.56,0.28,0.73,0.36,0.69,1.4,489.61,134.49
cutcp,1,800,900,2,22251791,117.61,62.61,62.59,0.03,27814,0.67,0.71,0.45,0.82,0.53,0.82,1.27,489.61,134.49
cutcp,1,1000,900,2,22300963,130.43,75.43,75.4,0.03,22300,0.83,0.86,0.69,0.91,0.74,0.92,1.13,489.61,134.49
cutcp,1,1200,900,2,22342775,143.22,88.22,88.18,0.04,18618,1,1,1,1,1,1,1,489.61,134.49
cutcp,1,1200,750,2,22342583,143.06,88.06,88.02,0.04,18618,1,1,1,1,1,1,1,489.61,134.49
cutcp,1,1200,600,2,22340986,142.91,87.91,87.87,0.04,18617,1,1,1,1,1,1,1,489.61,134.49
cutcp,1,1200,450,2,22228946,143.14,88.14,88.1,0.04,18524,1.01,1,1,1,1,1.01,1.01,489.61,134.49
fdtd2d,1,600,900,1,519151,95.27,40.27,28.21,12.06,865,0.86,0.85,0.55,0.93,0.52,0.93,1.67,10,2.52
fdtd2d,1,800,900,1,647767,98.02,43.02,30.14,12.88,809,0.92,0.91,0.68,0.96,0.66,0.96,1.4,10,2.52
fdtd2d,1,1000,900,1,777314,100.13,45.13,31.72,13.41,777,0.96,0.96,0.83,0.98,0.82,0.98,1.18,10,2.52
